employeeID,increment
101,5.6
102,4.37
103,9
104,5.75
105,5.19
106,1.17
107,6.13
108,9.34
109,4.42
110,4.03
111,5.93
112,7.57
113,4.76
114,8.02
115,9.54
116,4.48
117,6
118,2.81
119,4.98
120,6.5
121,9.94
122,9.2
123,8.35
124,3.94
125,8.1
126,3.35
127,4.91
128,1.71
129,7.76
130,9.58
131,9.34
132,2.56
133,6.3
134,7.41
135,2.56
136,5.51
137,8.66
138,8.61
139,2.1
140,4.85
141,3.58
142,4.94
143,9.28
144,7.15
145,2.57
146,3.8
147,7.86
148,9.15
149,4.61
150,3.43
151,8.23
152,1.33
153,1.08
154,7.63
155,2.11
156,9.35
157,4.59
158,2.25
159,7.71
160,1.61
161,2.66
162,2.28
163,5.21
164,8.71
165,6.18
166,8.54
167,9.65
168,3.05
169,9.58
170,4.1
171,9
172,9.56
173,2.24
174,5.97
175,9.4
176,1.41
177,1.97
178,5.1
179,2.33
180,7.33
181,7.98
182,2.75
183,2.65
184,4.33
185,5.76
186,3.53
187,8.67
188,8.05
189,4.29
190,7.42
191,3.22
192,5.09
193,8.28
194,5.01
195,3.63
196,9.54
197,5.76
198,2.94
199,4.25
200,4.74
